id1,species,english,img_source,img_link,wiki_link
0,accipiter_gentilis,Northern Goshawk,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Northern_Goshawk_ad_M2.jpg/220px-Northern_Goshawk_ad_M2.jpg,https://en.wikipedia.org/wiki/File:Northern_Goshawk_ad_M2.jpg,https://en.wikipedia.org/wiki/Northern_goshawk
1,acrocephalus_arundinaceus,Great Reed Warbler,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Drosselrohrs%C3%A4nger_Great_reed_warbler.jpg/220px-Drosselrohrs%C3%A4nger_Great_reed_warbler.jpg,https://en.wikipedia.org/wiki/File:Drosselrohrs%C3%A4nger_Great_reed_warbler.jpg,https://en.wikipedia.org/wiki/Great_reed_warbler
2,acrocephalus_dumetorum,Blyth's Reed Warbler,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Blyth%27s_Reed_Warbler_I2_IMG_9417.jpg/220px-Blyth%27s_Reed_Warbler_I2_IMG_9417.jpg,https://en.wikipedia.org/wiki/File:Blyth%27s_Reed_Warbler_I2_IMG_9417.jpg,https://en.wikipedia.org/wiki/Blyth's_reed_warbler
3,acrocephalus_palustris,Marsh Warbler,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Acrocephalus_palustris_%28Marek_Szczepanek%29.jpg/220px-Acrocephalus_palustris_%28Marek_Szczepanek%29.jpg,https://en.wikipedia.org/wiki/File:Acrocephalus_palustris_(Marek_Szczepanek).jpg,https://en.wikipedia.org/wiki/Marsh_warbler
4,acrocephalus_schoenobaenus,Sedge Warbler,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Acrocephalus_schoenobaenus_1_%28Marek_Szczepanek%29-2.jpg/220px-Acrocephalus_schoenobaenus_1_%28Marek_Szczepanek%29-2.jpg,https://en.wikipedia.org/wiki/File:Acrocephalus_schoenobaenus_1_(Marek_Szczepanek)-2.jpg,https://en.wikipedia.org/wiki/Sedge_warbler
5,acrocephalus_scirpaceus,Eurasian Reed Warbler,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Acrocephalus_scirpaceus_Vlaskop_cropped.jpg/220px-Acrocephalus_scirpaceus_Vlaskop_cropped.jpg,https://en.wikipedia.org/wiki/File:Acrocephalus_scirpaceus_Vlaskop_cropped.jpg,https://en.wikipedia.org/wiki/Eurasian_reed_warbler
6,aegithalos_caudatus,Long-tailed Tit,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Long_tailed_Tit_on_a_washing_line_-_geograph.org.uk_-_1714032.jpg/220px-Long_tailed_Tit_on_a_washing_line_-_geograph.org.uk_-_1714032.jpg,https://en.wikipedia.org/wiki/File:Long_tailed_Tit_on_a_washing_line_-_geograph.org.uk_-_1714032.jpg,https://en.wikipedia.org/wiki/Long-tailed_tit
7,alauda_arvensis,Eurasian Skylark,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Alauda_arvensis_2.jpg/220px-Alauda_arvensis_2.jpg,https://en.wikipedia.org/wiki/File:Alauda_arvensis_2.jpg,https://en.wikipedia.org/wiki/Eurasian_skylark
8,anser_anser,Greylag Goose,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Greylag_Goose_-_St_James%27s_Park%2C_London_-_Nov_2006.jpg/220px-Greylag_Goose_-_St_James%27s_Park%2C_London_-_Nov_2006.jpg,"https://en.wikipedia.org/wiki/File:Greylag_Goose_-_St_James%27s_Park,_London_-_Nov_2006.jpg",https://en.wikipedia.org/wiki/Greylag_goose
9,anthus_trivialis,Tree Pipit,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Anthus_triviallis_%28Marek_Szczepanek%29.jpg/220px-Anthus_triviallis_%28Marek_Szczepanek%29.jpg,https://en.wikipedia.org/wiki/File:Anthus_triviallis_(Marek_Szczepanek).jpg,https://en.wikipedia.org/wiki/Tree_pipit
10,asio_otus,Long-eared Owl,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Asio_otus_-Battlefield_Falconry_Centre%2C_Shrewsbury%2C_Shropshire%2C_England-8a.jpg/220px-Asio_otus_-Battlefield_Falconry_Centre%2C_Shrewsbury%2C_Shropshire%2C_England-8a.jpg,"https://en.wikipedia.org/wiki/File:Asio_otus_-Battlefield_Falconry_Centre,_Shrewsbury,_Shropshire,_England-8a.jpg",https://en.wikipedia.org/wiki/Long-eared_owl
11,athene_noctua,Little Owl,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Mochuelo_Com%C3%BAn_%28_Athene_noctua_%29%281%29.jpg/220px-Mochuelo_Com%C3%BAn_%28_Athene_noctua_%29%281%29.jpg,https://en.wikipedia.org/wiki/File:Mochuelo_Com%C3%BAn_(_Athene_noctua_)(1).jpg,https://en.wikipedia.org/wiki/Little_owl
12,bubo_bubo,Eurasian Eagle-owl,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Bubo_bubo_winter_1.jpg/220px-Bubo_bubo_winter_1.jpg,https://en.wikipedia.org/wiki/File:Bubo_bubo_winter_1.jpg,https://en.wikipedia.org/wiki/Eurasian_eagle-owl
13,buteo_buteo,Common Buzzard,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Steppe_buzzard_%28Buteo_buteo_vulpinus%29.jpg/220px-Steppe_buzzard_%28Buteo_buteo_vulpinus%29.jpg,https://en.wikipedia.org/wiki/File:Steppe_buzzard_(Buteo_buteo_vulpinus).jpg,https://en.wikipedia.org/wiki/Common_buzzard
14,caprimulgus_europaeus,European Nightjar,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/%C5%9Eivanxap%C3%AEnok.jpg/220px-%C5%9Eivanxap%C3%AEnok.jpg,https://en.wikipedia.org/wiki/File:%C5%9Eivanxap%C3%AEnok.jpg,https://en.wikipedia.org/wiki/European_nightjar
15,carduelis_carduelis,European Goldfinch,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Carduelis_carduelis_close_up.jpg/220px-Carduelis_carduelis_close_up.jpg,https://en.wikipedia.org/wiki/File:Carduelis_carduelis_close_up.jpg,https://en.wikipedia.org/wiki/European_goldfinch
16,carpodacus_erythrinus,Common Rosefinch,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Common_Rosefinch_Neora_Valley_National_Park_Darjeeling_West_Bengal_India_30.04.2016.jpg/220px-Common_Rosefinch_Neora_Valley_National_Park_Darjeeling_West_Bengal_India_30.04.2016.jpg,https://en.wikipedia.org/wiki/File:Common_Rosefinch_Neora_Valley_National_Park_Darjeeling_West_Bengal_India_30.04.2016.jpg,https://en.wikipedia.org/wiki/Common_rosefinch
17,certhia_brachydactyla,Short-toed Treecreeper,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Boomkruiper1reversed.jpg/220px-Boomkruiper1reversed.jpg,https://en.wikipedia.org/wiki/File:Boomkruiper1reversed.jpg,https://en.wikipedia.org/wiki/Short-toed_treecreeper
18,certhia_familiaris,Eurasian Treecreeper,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Certhia_familiaris_01.jpg/220px-Certhia_familiaris_01.jpg,https://en.wikipedia.org/wiki/File:Certhia_familiaris_01.jpg,https://en.wikipedia.org/wiki/Eurasian_treecreeper
19,chroicocephalus_ridibundus,Black-headed Gull,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Chroicocephalus_ridibundus_%28summer%29.jpg/220px-Chroicocephalus_ridibundus_%28summer%29.jpg,https://en.wikipedia.org/wiki/File:Chroicocephalus_ridibundus_(summer).jpg,https://en.wikipedia.org/wiki/Black-headed_gull
20,coccothraustes_coccothraustes,Hawfinch,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Coccothraustes_coccothraustes_Parco_Della_Piana_around_Firenze%2C_Italy.jpg/220px-Coccothraustes_coccothraustes_Parco_Della_Piana_around_Firenze%2C_Italy.jpg,"https://en.wikipedia.org/wiki/File:Coccothraustes_coccothraustes_Parco_Della_Piana_around_Firenze,_Italy.jpg",https://en.wikipedia.org/wiki/Hawfinch
21,corvus_corax,Northern Raven,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Corvus_corax.001_-_Tower_of_London.JPG/220px-Corvus_corax.001_-_Tower_of_London.JPG,https://en.wikipedia.org/wiki/File:Corvus_corax.001_-_Tower_of_London.JPG,https://en.wikipedia.org/wiki/Northern_raven
