id1,species,english,img
0,accipiter_gentilis,Northern Goshawk,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Northern_Goshawk_ad_M2.jpg/220px-Northern_Goshawk_ad_M2.jpg
1,acrocephalus_arundinaceus,Great Reed Warbler,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Drosselrohrs%C3%A4nger_Great_reed_warbler.jpg/220px-Drosselrohrs%C3%A4nger_Great_reed_warbler.jpg
2,acrocephalus_dumetorum,Blyth'S Reed Warbler,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Blyth%27s_Reed_Warbler_I2_IMG_9417.jpg/220px-Blyth%27s_Reed_Warbler_I2_IMG_9417.jpg
3,acrocephalus_palustris,Marsh Warbler,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Acrocephalus_palustris_%28Marek_Szczepanek%29.jpg/220px-Acrocephalus_palustris_%28Marek_Szczepanek%29.jpg
4,acrocephalus_schoenobaenus,Sedge Warbler,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Acrocephalus_schoenobaenus_1_%28Marek_Szczepanek%29-2.jpg/220px-Acrocephalus_schoenobaenus_1_%28Marek_Szczepanek%29-2.jpg
5,acrocephalus_scirpaceus,Eurasian Reed Warbler,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Acrocephalus_scirpaceus_Vlaskop_cropped.jpg/220px-Acrocephalus_scirpaceus_Vlaskop_cropped.jpg
6,aegithalos_caudatus,Long-Tailed Tit,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Long_tailed_Tit_on_a_washing_line_-_geograph.org.uk_-_1714032.jpg/220px-Long_tailed_Tit_on_a_washing_line_-_geograph.org.uk_-_1714032.jpg
7,alauda_arvensis,Eurasian Skylark,https://upload.wikimedia.org/wikipedia/en/thumb/9/99/Question_book-new.svg/50px-Question_book-new.svg.png
8,anser_anser,Greylag Goose,https://upload.wikimedia.org/wikipedia/en/thumb/9/94/Symbol_support_vote.svg/19px-Symbol_support_vote.svg.png
9,anthus_trivialis,Tree Pipit,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Anthus_triviallis_%28Marek_Szczepanek%29.jpg/220px-Anthus_triviallis_%28Marek_Szczepanek%29.jpg
10,asio_otus,Long-Eared Owl,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Asio_otus_-Battlefield_Falconry_Centre%2C_Shrewsbury%2C_Shropshire%2C_England-8a.jpg/220px-Asio_otus_-Battlefield_Falconry_Centre%2C_Shrewsbury%2C_Shropshire%2C_England-8a.jpg
11,athene_noctua,Little Owl,https://upload.wikimedia.org/wikipedia/en/thumb/9/94/Symbol_support_vote.svg/19px-Symbol_support_vote.svg.png
12,bubo_bubo,Eurasian Eagle-Owl,https://upload.wikimedia.org/wikipedia/en/thumb/9/94/Symbol_support_vote.svg/19px-Symbol_support_vote.svg.png
13,buteo_buteo,Common Buzzard,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Steppe_buzzard_%28Buteo_buteo_vulpinus%29.jpg/220px-Steppe_buzzard_%28Buteo_buteo_vulpinus%29.jpg
14,caprimulgus_europaeus,European Nightjar,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Cscr-featured.svg/20px-Cscr-featured.svg.png
15,carduelis_carduelis,European Goldfinch,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Carduelis_carduelis_close_up.jpg/220px-Carduelis_carduelis_close_up.jpg
16,carpodacus_erythrinus,Common Rosefinch,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Common_Rosefinch_Neora_Valley_National_Park_Darjeeling_West_Bengal_India_30.04.2016.jpg/220px-Common_Rosefinch_Neora_Valley_National_Park_Darjeeling_West_Bengal_India_30.04.2016.jpg
17,certhia_brachydactyla,Short-Toed Treecreeper,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Boomkruiper1reversed.jpg/220px-Boomkruiper1reversed.jpg
18,certhia_familiaris,Eurasian Treecreeper,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Cscr-featured.svg/20px-Cscr-featured.svg.png
19,chroicocephalus_ridibundus,Black-Headed Gull,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Chroicocephalus_ridibundus_%28summer%29.jpg/220px-Chroicocephalus_ridibundus_%28summer%29.jpg
20,coccothraustes_coccothraustes,Hawfinch,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Coccothraustes_coccothraustes_Parco_Della_Piana_around_Firenze%2C_Italy.jpg/220px-Coccothraustes_coccothraustes_Parco_Della_Piana_around_Firenze%2C_Italy.jpg
21,corvus_corax,Northern Raven,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Cscr-featured.svg/20px-Cscr-featured.svg.png
22,corvus_cornix,Hooded Crow,https://upload.wikimedia.org/wikipedia/en/thumb/9/94/Symbol_support_vote.svg/19px-Symbol_support_vote.svg.png
23,corvus_corone,Carrion Crow,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Corvus_corone_-near_Canford_Cliffs%2C_Poole%2C_England-8.jpg/220px-Corvus_corone_-near_Canford_Cliffs%2C_Poole%2C_England-8.jpg
24,corvus_frugilegus,Rook,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Wiktionary-logo-en-v2.svg/40px-Wiktionary-logo-en-v2.svg.png
25,coturnix_coturnix,Common Quail,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/A_common_quail_in_Lebanon.jpg/220px-A_common_quail_in_Lebanon.jpg
26,crex_crex,Corn Crake,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Cscr-featured.svg/20px-Cscr-featured.svg.png
27,cuculus_canorus,Common Cuckoo,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Cuculus_canorus_vogelartinfo_chris_romeiks_CHR0791_cropped.jpg/220px-Cuculus_canorus_vogelartinfo_chris_romeiks_CHR0791_cropped.jpg
28,delichon_urbicum,Common House Martin,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Cscr-featured.svg/20px-Cscr-featured.svg.png
29,dumetella_carolinensis,Grey Catbird,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Dumetella_carolinensis_-Brendan_T._Byrne_State_Forest%2C_New_Jersey%2C_USA-8.jpg/220px-Dumetella_carolinensis_-Brendan_T._Byrne_State_Forest%2C_New_Jersey%2C_USA-8.jpg
30,emberiza_calandra,Corn Bunting,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Emberiza_calandra_-Jardin_des_Plantes%2C_Paris%2C_France-8.jpg/220px-Emberiza_calandra_-Jardin_des_Plantes%2C_Paris%2C_France-8.jpg
