,species,genus,family,order,german_name,comment,status
3,jamaicensis,oxyura,anatidae,anseriformes,Schwarzkopf-Ruderente,,
4,leucocephala,oxyura,anatidae,anseriformes,Weißkopf-Ruderente,,Ausnahmeerscheinung
5,olor,cygnus,anatidae,anseriformes,Höckerschwan,,"Brut-, Jahres-, Zugvogel, Wintergast"
6,cygnus,cygnus,anatidae,anseriformes,Singschwan,RL R,"Brut-, Jahres-, Zugvogel, Wintergast"
7,columbianus,cygnus,anatidae,anseriformes,Pfeifschwan,,besondere Ausnahmeerscheinung
8,bewickii,cygnus,anatidae,anseriformes,Zwergschwan,,"Zugvogel, Wintergast"
9,ruficollis,branta,anatidae,anseriformes,Rothalsgans,,
10,bernicla,branta,anatidae,anseriformes,Ringelgans,,"Zugvogel, Wintergast"
11,canadensis,branta,anatidae,anseriformes,Kanadagans,,"Brut-, Jahresvogel, Wintergast"
12,leucopsis,branta,anatidae,anseriformes,Weißwangengans,,"Brut-, Jahresvogel, Wintergast"
13,fabalis,anser,anatidae,anseriformes,Saatgans,,
14,brachyrhynchus,anser,anatidae,anseriformes,Kurzschnabelgans,,
15,erythropus,anser,anatidae,anseriformes,Zwerggans,,seltener Zugvogel und Wintergast
16,albifrons,anser,anatidae,anseriformes,Blässgans,,
17,anser,anser,anatidae,anseriformes,Graugans,,"Brut-, Jahres-, Zugvogel, Wintergast"
18,aegyptiaca,alopochen,anatidae,anseriformes,Nilgans,,"Brut-, Jahresvogel"
19,tadorna,tadorna,anatidae,anseriformes,Brandgans,,"Brut-, Jahres-, Zugvogel, Wintergast"
20,ferruginea,tadorna,anatidae,anseriformes,Rostgans,,"Brut-, Jahresvogel"
21,galericulata,aix,anatidae,anseriformes,Mandarinente,,"Brut-, Jahresvogel"
22,angustirostris,marmaronetta,anatidae,anseriformes,Marmelente,,besondere Ausnahmeerscheinung
23,strepera,anas,anatidae,anseriformes,Schnatterente,,"Brut-, Jahres-, Zugvogel, Wintergast"
24,penelope penelope,anas,anatidae,anseriformes,Pfeifente,RL R,"Brut-, Jahres-, Zugvogel, Wintergast"
25,penelope americana,anas,anatidae,anseriformes,Kanadapfeifente,,Ausnahmeerscheinung
26,crecca crecca,anas,anatidae,anseriformes,Krickente,RL 3,"Brut-, Jahres-, Zugvogel, Wintergast"
27,crecca carolinensis,anas,anatidae,anseriformes,Carolinakrickente,vgl. Artikel Krickente,Ausnahmeerscheinung
28,platyrhynchos,anas,anatidae,anseriformes,Stockente,,"Brut-, Jahres-, Zugvogel, Wintergast"
29,acuta,anas,anatidae,anseriformes,Spießente,RL 3,"Brut-, Jahres-, Zugvogel, Wintergast"
30,querquedula,anas,anatidae,anseriformes,Knäkente,RL 2,"Brut-, Zugvogel"
31,discors,anas,anatidae,anseriformes,Blauflügelente,,Ausnahmeerscheinung
32,clypeata,anas,anatidae,anseriformes,Löffelente,RL 3,"Brut-, Jahres-, Zugvogel, Wintergast"
33,rufina,netta,anatidae,anseriformes,Kolbenente,,"Brut-, Jahres-, Zugvogel, Wintergast"
34,nyroca,aythya,anatidae,anseriformes,Moorente,RL 1,"Brutvogel, seltener Zugvogel und Wintergast"
