,Unnamed: 0,species,genus,family,order,german_name,comment,status,found
0,3,jamaicensis,oxyura,anatidae,anseriformes,Schwarzkopf-Ruderente,,,True
1,4,leucocephala,oxyura,anatidae,anseriformes,Weißkopf-Ruderente,,Ausnahmeerscheinung,True
2,5,olor,cygnus,anatidae,anseriformes,Höckerschwan,,"Brut-, Jahres-, Zugvogel, Wintergast",True
3,6,cygnus,cygnus,anatidae,anseriformes,Singschwan,RL R,"Brut-, Jahres-, Zugvogel, Wintergast",True
4,7,columbianus,cygnus,anatidae,anseriformes,Pfeifschwan,,besondere Ausnahmeerscheinung,True
6,9,ruficollis,branta,anatidae,anseriformes,Rothalsgans,,,True
7,10,bernicla,branta,anatidae,anseriformes,Ringelgans,,"Zugvogel, Wintergast",True
8,11,canadensis,branta,anatidae,anseriformes,Kanadagans,,"Brut-, Jahresvogel, Wintergast",True
9,12,leucopsis,branta,anatidae,anseriformes,Weißwangengans,,"Brut-, Jahresvogel, Wintergast",True
10,13,fabalis,anser,anatidae,anseriformes,Saatgans,,,True
11,14,brachyrhynchus,anser,anatidae,anseriformes,Kurzschnabelgans,,,True
12,15,erythropus,anser,anatidae,anseriformes,Zwerggans,,seltener Zugvogel und Wintergast,True
13,16,albifrons,anser,anatidae,anseriformes,Blässgans,,,True
14,17,anser,anser,anatidae,anseriformes,Graugans,,"Brut-, Jahres-, Zugvogel, Wintergast",True
15,18,aegyptiaca,alopochen,anatidae,anseriformes,Nilgans,,"Brut-, Jahresvogel",True
16,19,tadorna,tadorna,anatidae,anseriformes,Brandgans,,"Brut-, Jahres-, Zugvogel, Wintergast",True
17,20,ferruginea,tadorna,anatidae,anseriformes,Rostgans,,"Brut-, Jahresvogel",True
18,21,galericulata,aix,anatidae,anseriformes,Mandarinente,,"Brut-, Jahresvogel",True
19,22,angustirostris,marmaronetta,anatidae,anseriformes,Marmelente,,besondere Ausnahmeerscheinung,True
25,28,platyrhynchos,anas,anatidae,anseriformes,Stockente,,"Brut-, Jahres-, Zugvogel, Wintergast",True
26,29,acuta,anas,anatidae,anseriformes,Spießente,RL 3,"Brut-, Jahres-, Zugvogel, Wintergast",True
30,33,rufina,netta,anatidae,anseriformes,Kolbenente,,"Brut-, Jahres-, Zugvogel, Wintergast",True
31,34,nyroca,aythya,anatidae,anseriformes,Moorente,RL 1,"Brutvogel, seltener Zugvogel und Wintergast",True
32,35,ferina,aythya,anatidae,anseriformes,Tafelente,,"Brut-, Jahres-, Zugvogel, Wintergast",True
33,36,collaris,aythya,anatidae,anseriformes,Ringschnabelente,,Ausnahmeerscheinung,True
34,37,fuligula,aythya,anatidae,anseriformes,Reiherente,,"Brut-, Jahres-, Zugvogel, Wintergast",True
35,38,marila,aythya,anatidae,anseriformes,Bergente,RL R,"Brut-, Jahres-, Zugvogel, Wintergast",True
36,39,stelleri,polysticta,anatidae,anseriformes,Scheckente,,Ausnahmeerscheinung,True
37,40,spectabilis,somateria,anatidae,anseriformes,Prachteiderente,,Ausnahmeerscheinung,True
38,41,mollissima,somateria,anatidae,anseriformes,Eiderente,,"Brut-, Jahres-, Zugvogel, Wintergast",True
39,42,histrionicus,histrionicus,anatidae,anseriformes,Kragenente,,besondere Ausnahmeerscheinung,True
43,46,perspicillata,melanitta,anatidae,anseriformes,Brillenente,,besondere Ausnahmeerscheinung,True
44,47,fusca,melanitta,anatidae,anseriformes,Samtente,,"Zugvogel, Wintergast",True
45,48,islandica,bucephala,anatidae,anseriformes,Spatelente,,besondere Ausnahmeerscheinung,True
46,49,clangula,bucephala,anatidae,anseriformes,Schellente,,"Brut-, Zugvogel, Wintergast",True
48,51,merganser,mergus,anatidae,anseriformes,Gänsesäger,RL 2,"Brut-, Zugvogel, Wintergast",True
49,52,serrator,mergus,anatidae,anseriformes,Mittelsäger,,"Brut-, Zugvogel, Wintergast",True
50,3,coturnix,coturnix,phasianidae,galliformes,Wachtel,,"Brut-, Zugvogel, Wintergast",True
51,4,graeca,alectoris,phasianidae,galliformes,Steinhuhn,RL 0,,True
52,5,colchicus,phasianus,phasianidae,galliformes,Jagdfasan,,"Brut-, Jahresvogel",True
53,6,perdix,perdix,phasianidae,galliformes,Rebhuhn,RL 2,"Brut-, Jahresvogel",True
54,7,bonasia,tetrastes,phasianidae,galliformes,Haselhuhn,RL 2,"Brut-, Jahresvogel",True
55,8,muta,lagopus,phasianidae,galliformes,Alpenschneehuhn,RL R,"Brut-, Jahresvogel",True
57,10,urogallus,tetrao,phasianidae,galliformes,Auerhuhn,RL 1,"Brut-, Jahresvogel",True
58,4,ruficollis,tachybaptus,podicipedidae,podicipediformes,Zwergtaucher,,"Brut-, Jahres-, Zugvogel, Wintergast",True
59,5,cristatus,podiceps,podicipedidae,podicipediformes,Haubentaucher,,"Brut-, Jahres-, Zugvogel, Wintergast",True
60,6,grisegena,podiceps,podicipedidae,podicipediformes,Rothalstaucher,,"Brut-, Jahres-, Zugvogel, Wintergast",True
61,7,auritus,podiceps,podicipedidae,podicipediformes,Ohrentaucher,,"Brut-, Zugvogel, Wintergast",True
62,8,nigricollis,podiceps,podicipedidae,podicipediformes,Schwarzhalstaucher,,"Brut-, Jahres-, Zugvogel, seltener Wintergast",True
63,4,arctica,gavia,gaviidae,gaviiformes,Prachttaucher,,"Zugvogel, Wintergast",True
64,5,immer,gavia,gaviidae,gaviiformes,Eistaucher,,,True
65,6,adamsii,gavia,gaviidae,gaviiformes,Gelbschnabeltaucher,,Ausnahmeerscheinung,True
66,4,leucorhoa,oceanodroma,hydrobatidae,procellariiformes,Wellenläufer,,,True
