path,rec_id,label
49709_7.pkl,49709,sterna paradisaea
49709_3.pkl,49709,sterna paradisaea
49709_0.pkl,49709,sterna paradisaea
49709_9.pkl,49709,sterna paradisaea
49709_10.pkl,49709,sterna paradisaea
49709_4.pkl,49709,sterna paradisaea
49709_5.pkl,49709,sterna paradisaea
49709_8.pkl,49709,sterna paradisaea
49709_6.pkl,49709,sterna paradisaea
49709_11.pkl,49709,sterna paradisaea
49709_1.pkl,49709,sterna paradisaea
49709_2.pkl,49709,sterna paradisaea
213045_1.pkl,213045,sylvia melanocephala
213045_0.pkl,213045,sylvia melanocephala
361681_5.pkl,361681,aegolius funereus
361681_4.pkl,361681,aegolius funereus
361681_0.pkl,361681,aegolius funereus
361681_3.pkl,361681,aegolius funereus
361681_2.pkl,361681,aegolius funereus
361681_10.pkl,361681,aegolius funereus
361681_8.pkl,361681,aegolius funereus
361681_7.pkl,361681,aegolius funereus
361681_9.pkl,361681,aegolius funereus
361681_6.pkl,361681,aegolius funereus
361681_1.pkl,361681,aegolius funereus
43824_3.pkl,43824,tringa flavipes
43824_2.pkl,43824,tringa flavipes
43824_1.pkl,43824,tringa flavipes
43824_0.pkl,43824,tringa flavipes
381799_1.pkl,381799,merops persicus
381799_2.pkl,381799,merops persicus
381799_0.pkl,381799,merops persicus
42847_6.pkl,42847,xenus cinereus
42847_5.pkl,42847,xenus cinereus
42847_13.pkl,42847,xenus cinereus
42847_19.pkl,42847,xenus cinereus
42847_18.pkl,42847,xenus cinereus
42847_7.pkl,42847,xenus cinereus
42847_12.pkl,42847,xenus cinereus
42847_10.pkl,42847,xenus cinereus
42847_14.pkl,42847,xenus cinereus
42847_8.pkl,42847,xenus cinereus
42847_2.pkl,42847,xenus cinereus
42847_1.pkl,42847,xenus cinereus
42847_4.pkl,42847,xenus cinereus
42847_21.pkl,42847,xenus cinereus
42847_16.pkl,42847,xenus cinereus
42847_22.pkl,42847,xenus cinereus
42847_11.pkl,42847,xenus cinereus
