,path,rec_id,label
0,49709_7.pkl,49709,sterna paradisaea
1,49709_3.pkl,49709,sterna paradisaea
2,49709_0.pkl,49709,sterna paradisaea
3,49709_9.pkl,49709,sterna paradisaea
4,49709_10.pkl,49709,sterna paradisaea
5,49709_4.pkl,49709,sterna paradisaea
6,49709_5.pkl,49709,sterna paradisaea
7,49709_8.pkl,49709,sterna paradisaea
8,49709_6.pkl,49709,sterna paradisaea
9,49709_11.pkl,49709,sterna paradisaea
10,49709_1.pkl,49709,sterna paradisaea
11,49709_2.pkl,49709,sterna paradisaea
14,361681_5.pkl,361681,aegolius funereus
15,361681_4.pkl,361681,aegolius funereus
16,361681_0.pkl,361681,aegolius funereus
17,361681_3.pkl,361681,aegolius funereus
18,361681_2.pkl,361681,aegolius funereus
19,361681_10.pkl,361681,aegolius funereus
20,361681_8.pkl,361681,aegolius funereus
21,361681_7.pkl,361681,aegolius funereus
22,361681_9.pkl,361681,aegolius funereus
23,361681_6.pkl,361681,aegolius funereus
24,361681_1.pkl,361681,aegolius funereus
25,43824_3.pkl,43824,tringa flavipes
26,43824_2.pkl,43824,tringa flavipes
27,43824_1.pkl,43824,tringa flavipes
28,43824_0.pkl,43824,tringa flavipes
29,381799_1.pkl,381799,merops persicus
30,381799_2.pkl,381799,merops persicus
31,381799_0.pkl,381799,merops persicus
32,42847_6.pkl,42847,xenus cinereus
33,42847_5.pkl,42847,xenus cinereus
34,42847_13.pkl,42847,xenus cinereus
35,42847_19.pkl,42847,xenus cinereus
36,42847_18.pkl,42847,xenus cinereus
37,42847_7.pkl,42847,xenus cinereus
38,42847_12.pkl,42847,xenus cinereus
39,42847_10.pkl,42847,xenus cinereus
40,42847_14.pkl,42847,xenus cinereus
41,42847_8.pkl,42847,xenus cinereus
42,42847_2.pkl,42847,xenus cinereus
43,42847_1.pkl,42847,xenus cinereus
44,42847_4.pkl,42847,xenus cinereus
45,42847_21.pkl,42847,xenus cinereus
46,42847_16.pkl,42847,xenus cinereus
47,42847_22.pkl,42847,xenus cinereus
48,42847_11.pkl,42847,xenus cinereus
49,42847_3.pkl,42847,xenus cinereus
50,42847_9.pkl,42847,xenus cinereus
51,42847_20.pkl,42847,xenus cinereus
52,42847_15.pkl,42847,xenus cinereus
53,42847_17.pkl,42847,xenus cinereus
54,42847_0.pkl,42847,xenus cinereus
55,42847_23.pkl,42847,xenus cinereus
56,21232_1.pkl,21232,elanus caeruleus
57,21232_0.pkl,21232,elanus caeruleus
58,21232_2.pkl,21232,elanus caeruleus
59,21232_3.pkl,21232,elanus caeruleus
60,393509_1.pkl,393509,falco naumanni
61,393509_0.pkl,393509,falco naumanni
62,393509_3.pkl,393509,falco naumanni
63,393509_9.pkl,393509,falco naumanni
64,393509_5.pkl,393509,falco naumanni
65,393509_6.pkl,393509,falco naumanni
66,393509_4.pkl,393509,falco naumanni
67,393509_8.pkl,393509,falco naumanni
68,393509_7.pkl,393509,falco naumanni
69,393509_2.pkl,393509,falco naumanni
70,189231_2.pkl,189231,acrocephalus arundinaceus
71,189231_1.pkl,189231,acrocephalus arundinaceus
72,189231_0.pkl,189231,acrocephalus arundinaceus
73,381759_4.pkl,381759,merops persicus
74,381759_0.pkl,381759,merops persicus
75,381759_5.pkl,381759,merops persicus
76,381759_1.pkl,381759,merops persicus
77,381759_2.pkl,381759,merops persicus
78,381759_6.pkl,381759,merops persicus
79,381759_3.pkl,381759,merops persicus
80,45943_4.pkl,45943,chroicocephalus genei
81,45943_0.pkl,45943,chroicocephalus genei
82,45943_5.pkl,45943,chroicocephalus genei
83,45943_6.pkl,45943,chroicocephalus genei
84,45943_3.pkl,45943,chroicocephalus genei
85,45943_1.pkl,45943,chroicocephalus genei
86,45943_7.pkl,45943,chroicocephalus genei
87,45943_8.pkl,45943,chroicocephalus genei
88,45943_2.pkl,45943,chroicocephalus genei
89,46820_20.pkl,46820,leucophaeus pipixcan
90,46820_19.pkl,46820,leucophaeus pipixcan
91,46820_16.pkl,46820,leucophaeus pipixcan
92,46820_0.pkl,46820,leucophaeus pipixcan
93,46820_21.pkl,46820,leucophaeus pipixcan
94,46820_18.pkl,46820,leucophaeus pipixcan
95,46820_3.pkl,46820,leucophaeus pipixcan
96,46820_23.pkl,46820,leucophaeus pipixcan
97,46820_13.pkl,46820,leucophaeus pipixcan
98,46820_7.pkl,46820,leucophaeus pipixcan
99,46820_9.pkl,46820,leucophaeus pipixcan
100,46820_10.pkl,46820,leucophaeus pipixcan
101,46820_27.pkl,46820,leucophaeus pipixcan
102,46820_14.pkl,46820,leucophaeus pipixcan
103,46820_25.pkl,46820,leucophaeus pipixcan
104,46820_5.pkl,46820,leucophaeus pipixcan
105,46820_4.pkl,46820,leucophaeus pipixcan
106,46820_22.pkl,46820,leucophaeus pipixcan
107,46820_2.pkl,46820,leucophaeus pipixcan
108,46820_1.pkl,46820,leucophaeus pipixcan
109,46820_12.pkl,46820,leucophaeus pipixcan
110,46820_6.pkl,46820,leucophaeus pipixcan
111,46820_11.pkl,46820,leucophaeus pipixcan
112,46820_8.pkl,46820,leucophaeus pipixcan
113,46820_26.pkl,46820,leucophaeus pipixcan
114,46820_17.pkl,46820,leucophaeus pipixcan
115,46820_15.pkl,46820,leucophaeus pipixcan
116,46820_24.pkl,46820,leucophaeus pipixcan
117,30890_1.pkl,30890,porzana porzana
118,30890_0.pkl,30890,porzana porzana
119,367886_0.pkl,367886,apus apus
120,367886_4.pkl,367886,apus apus
121,367886_2.pkl,367886,apus apus
122,367886_1.pkl,367886,apus apus
123,367886_3.pkl,367886,apus apus
130,130957_0.pkl,130957,lanius senator
131,130957_9.pkl,130957,lanius senator
132,130957_8.pkl,130957,lanius senator
133,130957_1.pkl,130957,lanius senator
134,130957_7.pkl,130957,lanius senator
135,130957_3.pkl,130957,lanius senator
136,130957_4.pkl,130957,lanius senator
137,130957_5.pkl,130957,lanius senator
138,130957_6.pkl,130957,lanius senator
139,130957_2.pkl,130957,lanius senator
140,18492_8.pkl,18492,ixobrychus minutus
141,18492_4.pkl,18492,ixobrychus minutus
142,18492_9.pkl,18492,ixobrychus minutus
143,18492_10.pkl,18492,ixobrychus minutus
144,18492_11.pkl,18492,ixobrychus minutus
145,18492_3.pkl,18492,ixobrychus minutus
146,18492_1.pkl,18492,ixobrychus minutus
147,18492_12.pkl,18492,ixobrychus minutus
148,18492_0.pkl,18492,ixobrychus minutus
149,18492_2.pkl,18492,ixobrychus minutus
150,18492_7.pkl,18492,ixobrychus minutus
151,18492_6.pkl,18492,ixobrychus minutus
152,18492_5.pkl,18492,ixobrychus minutus
154,193990_18.pkl,193990,locustella lanceolata
155,193990_5.pkl,193990,locustella lanceolata
156,193990_8.pkl,193990,locustella lanceolata
157,193990_0.pkl,193990,locustella lanceolata
158,193990_1.pkl,193990,locustella lanceolata
159,193990_9.pkl,193990,locustella lanceolata
160,193990_10.pkl,193990,locustella lanceolata
161,193990_7.pkl,193990,locustella lanceolata
162,193990_16.pkl,193990,locustella lanceolata
163,193990_15.pkl,193990,locustella lanceolata
164,193990_12.pkl,193990,locustella lanceolata
165,193990_11.pkl,193990,locustella lanceolata
166,193990_2.pkl,193990,locustella lanceolata
167,193990_6.pkl,193990,locustella lanceolata
168,193990_17.pkl,193990,locustella lanceolata
169,193990_4.pkl,193990,locustella lanceolata
170,193990_3.pkl,193990,locustella lanceolata
171,193990_13.pkl,193990,locustella lanceolata
172,193990_14.pkl,193990,locustella lanceolata
173,173817_0.pkl,173817,hirundo rustica
174,129973_2.pkl,129973,lanius collurio
175,129973_3.pkl,129973,lanius collurio
176,129973_0.pkl,129973,lanius collurio
177,129973_1.pkl,129973,lanius collurio
190,41141_14.pkl,41141,calidris minutilla
191,41141_1.pkl,41141,calidris minutilla
192,41141_13.pkl,41141,calidris minutilla
193,41141_8.pkl,41141,calidris minutilla
194,41141_7.pkl,41141,calidris minutilla
195,41141_9.pkl,41141,calidris minutilla
196,41141_10.pkl,41141,calidris minutilla
197,41141_5.pkl,41141,calidris minutilla
198,41141_12.pkl,41141,calidris minutilla
199,41141_15.pkl,41141,calidris minutilla
200,41141_2.pkl,41141,calidris minutilla
201,41141_3.pkl,41141,calidris minutilla
202,41141_6.pkl,41141,calidris minutilla
203,41141_4.pkl,41141,calidris minutilla
204,41141_0.pkl,41141,calidris minutilla
205,41141_11.pkl,41141,calidris minutilla
206,151970_0.pkl,151970,bombycilla garrulus
207,151970_1.pkl,151970,bombycilla garrulus
208,30761_9.pkl,30761,porzana porzana
209,30761_7.pkl,30761,porzana porzana
210,30761_8.pkl,30761,porzana porzana
211,30761_2.pkl,30761,porzana porzana
212,30761_1.pkl,30761,porzana porzana
213,30761_10.pkl,30761,porzana porzana
214,30761_6.pkl,30761,porzana porzana
215,30761_0.pkl,30761,porzana porzana
216,30761_5.pkl,30761,porzana porzana
217,30761_4.pkl,30761,porzana porzana
218,30761_3.pkl,30761,porzana porzana
219,356438_2.pkl,356438,bubo bubo
220,356438_3.pkl,356438,bubo bubo
221,356438_0.pkl,356438,bubo bubo
222,356438_5.pkl,356438,bubo bubo
223,356438_1.pkl,356438,bubo bubo
224,356438_4.pkl,356438,bubo bubo
225,356438_6.pkl,356438,bubo bubo
226,356438_7.pkl,356438,bubo bubo
227,24095_7.pkl,24095,milvus milvus
228,24095_4.pkl,24095,milvus milvus
229,24095_3.pkl,24095,milvus milvus
230,24095_2.pkl,24095,milvus milvus
231,24095_6.pkl,24095,milvus milvus
232,24095_13.pkl,24095,milvus milvus
233,24095_10.pkl,24095,milvus milvus
234,24095_11.pkl,24095,milvus milvus
235,24095_1.pkl,24095,milvus milvus
236,24095_8.pkl,24095,milvus milvus
237,24095_9.pkl,24095,milvus milvus
238,24095_12.pkl,24095,milvus milvus
239,24095_0.pkl,24095,milvus milvus
240,24095_5.pkl,24095,milvus milvus
241,378036_0.pkl,378036,coracias garrulus
242,378036_9.pkl,378036,coracias garrulus
243,378036_12.pkl,378036,coracias garrulus
244,378036_5.pkl,378036,coracias garrulus
245,378036_14.pkl,378036,coracias garrulus
246,378036_1.pkl,378036,coracias garrulus
247,378036_11.pkl,378036,coracias garrulus
248,378036_7.pkl,378036,coracias garrulus
249,378036_2.pkl,378036,coracias garrulus
250,378036_4.pkl,378036,coracias garrulus
251,378036_10.pkl,378036,coracias garrulus
252,378036_8.pkl,378036,coracias garrulus
253,378036_13.pkl,378036,coracias garrulus
254,378036_6.pkl,378036,coracias garrulus
255,378036_3.pkl,378036,coracias garrulus
256,35166_4.pkl,35166,himantopus himantopus
257,35166_1.pkl,35166,himantopus himantopus
258,35166_5.pkl,35166,himantopus himantopus
259,35166_0.pkl,35166,himantopus himantopus
260,35166_3.pkl,35166,himantopus himantopus
261,35166_2.pkl,35166,himantopus himantopus
262,6203_0.pkl,6203,anas platyrhynchos
263,6203_1.pkl,6203,anas platyrhynchos
264,6203_2.pkl,6203,anas platyrhynchos
265,11211_4.pkl,11211,tetrao urogallus
266,11211_9.pkl,11211,tetrao urogallus
267,11211_1.pkl,11211,tetrao urogallus
268,11211_10.pkl,11211,tetrao urogallus
269,11211_0.pkl,11211,tetrao urogallus
270,11211_13.pkl,11211,tetrao urogallus
271,11211_5.pkl,11211,tetrao urogallus
272,11211_12.pkl,11211,tetrao urogallus
273,11211_6.pkl,11211,tetrao urogallus
274,11211_3.pkl,11211,tetrao urogallus
275,11211_8.pkl,11211,tetrao urogallus
276,11211_7.pkl,11211,tetrao urogallus
277,11211_2.pkl,11211,tetrao urogallus
278,11211_11.pkl,11211,tetrao urogallus
279,11211_14.pkl,11211,tetrao urogallus
280,266995_10.pkl,266995,anthus godlewskii
281,266995_6.pkl,266995,anthus godlewskii
282,266995_7.pkl,266995,anthus godlewskii
283,266995_0.pkl,266995,anthus godlewskii
284,266995_3.pkl,266995,anthus godlewskii
285,266995_2.pkl,266995,anthus godlewskii
286,266995_9.pkl,266995,anthus godlewskii
287,266995_1.pkl,266995,anthus godlewskii
288,266995_5.pkl,266995,anthus godlewskii
289,266995_11.pkl,266995,anthus godlewskii
290,266995_4.pkl,266995,anthus godlewskii
291,266995_8.pkl,266995,anthus godlewskii
298,259935_3.pkl,259935,passer montanus
299,259935_0.pkl,259935,passer montanus
300,259935_2.pkl,259935,passer montanus
301,259935_1.pkl,259935,passer montanus
302,38261_0.pkl,38261,charadrius alexandrinus
303,38261_1.pkl,38261,charadrius alexandrinus
304,38261_2.pkl,38261,charadrius alexandrinus
305,45447_1.pkl,45447,glareola pratincola
306,45447_5.pkl,45447,glareola pratincola
307,45447_3.pkl,45447,glareola pratincola
308,45447_2.pkl,45447,glareola pratincola
309,45447_4.pkl,45447,glareola pratincola
310,45447_0.pkl,45447,glareola pratincola
311,187954_0.pkl,187954,phylloscopus borealis
312,50052_5.pkl,50052,chlidonias leucopterus
313,50052_0.pkl,50052,chlidonias leucopterus
314,50052_1.pkl,50052,chlidonias leucopterus
315,50052_3.pkl,50052,chlidonias leucopterus
316,50052_4.pkl,50052,chlidonias leucopterus
317,50052_2.pkl,50052,chlidonias leucopterus
318,50052_6.pkl,50052,chlidonias leucopterus
319,192615_5.pkl,192615,iduna caligata
320,192615_24.pkl,192615,iduna caligata
321,192615_11.pkl,192615,iduna caligata
322,192615_4.pkl,192615,iduna caligata
323,192615_9.pkl,192615,iduna caligata
324,192615_26.pkl,192615,iduna caligata
325,192615_1.pkl,192615,iduna caligata
326,192615_17.pkl,192615,iduna caligata
