,path,label,rec_id
0,233696_18.pkl,17,233696
1,178257_1.pkl,6,178257
2,391195_6.pkl,72,391195
3,147407_94.pkl,24,147407
4,365934_24.pkl,14,365934
5,208511_0.pkl,86,208511
6,442752_42.pkl,94,442752
7,179845_3.pkl,66,179845
8,342069_2.pkl,82,342069
9,234200_34.pkl,29,234200
10,29063_0.pkl,75,29063
11,267761_2.pkl,9,267761
12,391273_8.pkl,72,391273
13,257442_4.pkl,62,257442
14,45770_23.pkl,78,45770
15,191158_43.pkl,5,191158
16,263798_0.pkl,73,263798
17,290353_5.pkl,31,290353
18,181286_3.pkl,70,181286
19,190806_1.pkl,2,190806
20,438701_1.pkl,95,438701
21,29095_0.pkl,75,29095
22,433199_5.pkl,93,433199
23,365903_0.pkl,14,365903
24,192949_15.pkl,44,192949
25,45748_8.pkl,78,45748
26,290388_64.pkl,31,290388
27,165722_16.pkl,51,165722
28,248622_4.pkl,53,248622
29,215434_1.pkl,76,215434
30,437726_2.pkl,95,437726
31,149649_1.pkl,21,149649
32,194126_2.pkl,49,194126
33,208432_34.pkl,86,208432
34,33674_1.pkl,42,33674
35,39498_8.pkl,59,39498
36,251594_1.pkl,64,251594
37,273950_21.pkl,74,273950
38,210481_30.pkl,87,210481
39,194104_48.pkl,49,194104
40,178187_10.pkl,6,178187
41,267700_0.pkl,9,267700
42,356377_1.pkl,12,356377
43,209374_2.pkl,88,209374
44,249601_38.pkl,38,249601
45,265889_3.pkl,56,265889
46,190571_74.pkl,2,190571
47,393525_104.pkl,36,393525
48,250038_0.pkl,37,250038
49,257571_17.pkl,62,257571
50,207867_2.pkl,85,207867
51,439630_7.pkl,97,439630
52,251444_46.pkl,64,251444
53,381950_13.pkl,55,381950
54,208585_6.pkl,86,208585
55,253034_86.pkl,79,253034
56,3335_3.pkl,8,3335
57,148761_4.pkl,22,148761
58,145561_2.pkl,71,145561
59,209330_0.pkl,88,209330
60,183400_2.pkl,67,183400
61,215556_5.pkl,76,215556
62,360984_0.pkl,11,360984
63,251416_0.pkl,64,251416
64,210481_141.pkl,87,210481
65,189901_208.pkl,4,189901
66,289879_19.pkl,33,289879
67,234236_26.pkl,29,234236
68,247352_5.pkl,52,247352
69,439628_37.pkl,97,439628
70,391181_64.pkl,72,391181
71,29095_77.pkl,75,29095
72,249604_6.pkl,38,249604
73,391173_0.pkl,72,391173
74,33687_4.pkl,42,33687
75,136450_31.pkl,60,136450
76,209001_1.pkl,86,209001
77,23487_11.pkl,0,23487
78,279061_12.pkl,50,279061
79,273198_10.pkl,20,273198
80,267659_6.pkl,9,267659
81,439626_3.pkl,97,439626
82,232891_4.pkl,18,232891
83,210462_7.pkl,87,210462
84,12845_14.pkl,25,12845
85,136501_61.pkl,60,136501
86,45756_0.pkl,78,45756
87,253283_2.pkl,79,253283
88,257427_1.pkl,62,257427
89,286262_2.pkl,30,286262
90,237661_1.pkl,84,237661
91,190789_1.pkl,2,190789
92,26577_84.pkl,13,26577
93,44131_3.pkl,90,44131
94,436584_64.pkl,96,436584
95,209330_4.pkl,88,209330
96,274877_0.pkl,16,274877
97,145488_2.pkl,71,145488
98,191158_12.pkl,5,191158
99,251845_24.pkl,65,251845
100,216571_4.pkl,77,216571
101,166225_65.pkl,7,166225
102,290369_5.pkl,31,290369
103,209345_1.pkl,88,209345
104,381950_216.pkl,55,381950
105,253135_30.pkl,79,253135
106,212620_8.pkl,89,212620
107,237543_2.pkl,84,237543
108,193232_89.pkl,43,193232
109,356820_254.pkl,83,356820
110,265940_12.pkl,56,265940
111,274859_14.pkl,16,274859
112,442745_21.pkl,94,442745
113,267667_22.pkl,9,267667
114,215876_29.pkl,77,215876
115,208424_0.pkl,86,208424
116,286308_0.pkl,30,286308
117,356829_100.pkl,83,356829
118,191752_271.pkl,3,191752
119,230909_24.pkl,81,230909
120,166273_1.pkl,7,166273
121,29571_9.pkl,26,29571
122,290410_2.pkl,31,290410
123,241065_0.pkl,58,241065
124,273995_1.pkl,74,273995
125,259103_220.pkl,63,259103
126,216000_11.pkl,77,216000
127,356376_5.pkl,12,356376
128,179766_2.pkl,66,179766
129,194074_24.pkl,49,194074
130,352636_64.pkl,27,352636
131,194530_135.pkl,48,194530
132,174731_50.pkl,28,174731
133,290356_7.pkl,31,290356
134,148330_1.pkl,23,148330
135,174750_6.pkl,28,174750
136,232862_2.pkl,18,232862
137,264615_24.pkl,57,264615
138,265921_8.pkl,56,265921
139,361248_2.pkl,11,361248
140,190835_6.pkl,2,190835
141,149740_2.pkl,21,149740
142,46127_161.pkl,19,46127
143,356315_13.pkl,12,356315
144,215889_4.pkl,77,215889
145,230903_3.pkl,81,230903
146,143892_26.pkl,41,143892
147,194528_0.pkl,48,194528
148,241074_3.pkl,58,241074
149,232893_30.pkl,18,232893
150,250656_109.pkl,39,250656
151,259083_68.pkl,63,259083
152,192957_1.pkl,44,192957
153,265892_2.pkl,56,265892
154,143883_5.pkl,41,143883
155,286263_9.pkl,30,286263
156,47182_0.pkl,47,47182
157,263773_40.pkl,73,263773
158,244031_1.pkl,35,244031
159,279047_0.pkl,50,279047
160,47080_5.pkl,47,47080
161,250631_34.pkl,39,250631
162,237564_10.pkl,84,237564
163,185611_0.pkl,67,185611
164,265899_16.pkl,56,265899
165,181706_0.pkl,70,181706
166,436569_13.pkl,96,436569
167,192997_17.pkl,44,192997
168,264712_2.pkl,57,264712
169,26596_35.pkl,13,26596
170,365897_35.pkl,14,365897
171,437208_17.pkl,92,437208
172,279026_0.pkl,50,279026
173,241063_32.pkl,58,241063
174,443112_5.pkl,94,443112
175,247736_1.pkl,52,247736
176,216060_0.pkl,77,216060
177,35883_7.pkl,98,35883
178,247176_1.pkl,54,247176
179,193236_15.pkl,43,193236
180,281183_9.pkl,15,281183
181,208430_0.pkl,86,208430
182,179405_4.pkl,68,179405
183,230944_6.pkl,81,230944
184,388734_1.pkl,46,388734
185,26600_10.pkl,13,26600
186,183454_48.pkl,67,183454
187,159580_25.pkl,61,159580
188,23493_22.pkl,0,23493
189,442826_23.pkl,94,442826
190,253029_11.pkl,79,253029
191,243236_26.pkl,35,243236
192,230931_3.pkl,81,230931
193,273966_1.pkl,74,273966
194,134319_5.pkl,99,134319
195,433189_6.pkl,93,433189
196,181292_4.pkl,70,181292
197,437978_49.pkl,95,437978
198,234203_2.pkl,29,234203
199,183427_21.pkl,67,183427
200,188830_98.pkl,1,188830
201,23500_2.pkl,0,23500
202,174753_4.pkl,28,174753
203,166225_75.pkl,7,166225
204,287026_1.pkl,30,287026
205,3279_48.pkl,8,3279
206,150076_0.pkl,21,150076
207,148838_0.pkl,22,148838
208,134314_0.pkl,99,134314
209,274081_1.pkl,74,274081
210,388704_38.pkl,46,388704
211,289902_4.pkl,33,289902
212,279069_8.pkl,50,279069
213,29775_1.pkl,26,29775
214,179732_2.pkl,66,179732
215,194525_18.pkl,48,194525
216,26623_31.pkl,13,26623
217,194644_2.pkl,48,194644
218,134293_60.pkl,99,134293
219,362865_1.pkl,10,362865
220,44131_0.pkl,90,44131
221,46170_8.pkl,19,46170
222,251534_19.pkl,64,251534
223,209345_1.pkl,88,209345
224,191042_2.pkl,5,191042
225,147360_2.pkl,24,147360
226,439683_18.pkl,97,439683
227,437198_3.pkl,92,437198
228,393479_154.pkl,36,393479
229,234210_1.pkl,29,234210
230,234261_68.pkl,29,234261
231,44117_179.pkl,90,44117
232,174921_0.pkl,28,174921
233,246826_21.pkl,54,246826
234,188839_5.pkl,1,188839
235,173576_13.pkl,45,173576
236,356411_19.pkl,12,356411
237,234261_25.pkl,29,234261
238,433225_18.pkl,93,433225
239,251840_15.pkl,65,251840
240,190773_7.pkl,2,190773
241,33646_4.pkl,42,33646
242,290373_0.pkl,31,290373
243,267949_0.pkl,9,267949
244,279065_23.pkl,50,279065
245,279328_0.pkl,50,279328
246,178184_37.pkl,6,178184
247,223807_6.pkl,91,223807
248,230926_2.pkl,81,230926
249,23481_59.pkl,0,23481
250,44117_23.pkl,90,44117
251,243245_47.pkl,35,243245
252,44131_4.pkl,90,44131
253,433232_33.pkl,93,433232
254,437725_1.pkl,95,437725
255,279066_52.pkl,50,279066
256,173614_6.pkl,45,173614
257,210479_9.pkl,87,210479
258,3282_29.pkl,8,3282
259,29106_47.pkl,75,29106
260,352636_51.pkl,27,352636
261,39469_0.pkl,59,39469
262,44146_0.pkl,90,44146
263,265896_0.pkl,56,265896
264,247169_4.pkl,54,247169
265,253029_12.pkl,79,253029
266,12802_8.pkl,25,12802
267,191101_1.pkl,5,191101
268,134293_30.pkl,99,134293
269,47117_3.pkl,47,47117
270,44343_7.pkl,90,44343
271,47108_13.pkl,47,47108
272,436579_6.pkl,96,436579
273,208445_37.pkl,86,208445
274,381951_29.pkl,55,381951
275,233690_21.pkl,17,233690
276,391169_6.pkl,72,391169
277,341935_4.pkl,82,341935
278,145514_2.pkl,71,145514
279,264700_8.pkl,57,264700
280,341928_15.pkl,82,341928
281,352638_0.pkl,27,352638
282,264655_14.pkl,57,264655
283,194104_14.pkl,49,194104
284,362772_13.pkl,10,362772
285,352670_7.pkl,27,352670
286,45761_65.pkl,78,45761
287,224090_3.pkl,91,224090
288,253048_0.pkl,79,253048
289,46127_57.pkl,19,46127
290,241331_4.pkl,58,241331
291,192339_1.pkl,3,192339
292,234261_20.pkl,29,234261
293,134321_9.pkl,99,134321
294,352840_0.pkl,27,352840
295,44117_139.pkl,90,44117
296,269686_11.pkl,40,269686
297,45764_73.pkl,78,45764
298,181300_7.pkl,70,181300
299,148377_4.pkl,23,148377
300,188832_28.pkl,1,188832
301,178711_0.pkl,6,178711
302,282164_6.pkl,80,282164
303,237552_4.pkl,84,237552
304,39498_58.pkl,59,39498
305,249601_50.pkl,38,249601
306,189119_2.pkl,1,189119
307,23495_9.pkl,0,23495
308,209357_0.pkl,88,209357
309,265915_11.pkl,56,265915
310,290630_0.pkl,31,290630
311,145753_1.pkl,71,145753
312,29459_0.pkl,75,29459
313,437139_16.pkl,92,437139
314,215441_3.pkl,76,215441
315,148721_2.pkl,22,148721
316,47094_2.pkl,47,47094
317,145521_29.pkl,71,145521
318,264653_25.pkl,57,264653
319,215877_20.pkl,77,215877
320,210469_30.pkl,87,210469
321,46127_131.pkl,19,46127
322,134307_6.pkl,99,134307
323,269691_6.pkl,40,269691
324,39474_6.pkl,59,39474
325,273229_11.pkl,20,273229
326,179763_24.pkl,66,179763
327,341939_13.pkl,82,341939
328,3333_22.pkl,8,3333
329,45775_1.pkl,78,45775
330,183461_20.pkl,67,183461
331,23512_45.pkl,0,23512
332,243253_6.pkl,35,243253
333,29088_28.pkl,75,29088
334,443136_1.pkl,94,443136
335,173618_10.pkl,45,173618
336,282037_9.pkl,80,282037
337,189901_80.pkl,4,189901
338,212631_4.pkl,89,212631
339,433235_157.pkl,93,433235
340,290481_1.pkl,31,290481
341,136501_38.pkl,60,136501
342,437703_28.pkl,95,437703
343,291957_7.pkl,34,291957
344,149567_1.pkl,21,149567
345,279069_38.pkl,50,279069
346,223792_5.pkl,91,223792
347,192933_8.pkl,44,192933
348,393481_1.pkl,36,393481
349,188834_26.pkl,1,188834
350,147506_5.pkl,24,147506
351,250628_11.pkl,39,250628
352,148745_39.pkl,22,148745
353,250624_28.pkl,39,250624
354,230936_6.pkl,81,230936
355,148724_3.pkl,22,148724
356,181315_11.pkl,70,181315
357,181314_7.pkl,70,181314
358,391241_7.pkl,72,391241
359,442753_0.pkl,94,442753
360,23594_2.pkl,0,23594
361,442756_0.pkl,94,442756
362,12840_9.pkl,25,12840
363,190669_88.pkl,2,190669
364,179394_20.pkl,68,179394
365,29592_60.pkl,26,29592
366,166224_76.pkl,7,166224
367,241254_6.pkl,58,241254
368,289901_6.pkl,33,289901
369,282163_2.pkl,80,282163
370,143876_8.pkl,41,143876
371,47092_0.pkl,47,47092
372,134328_6.pkl,99,134328
373,145504_13.pkl,71,145504
374,3310_14.pkl,8,3310
375,247747_7.pkl,53,247747
376,234261_61.pkl,29,234261
377,264484_1.pkl,73,264484
378,209340_24.pkl,88,209340
379,46336_0.pkl,19,46336
380,215458_1.pkl,76,215458
381,265910_2.pkl,56,265910
382,3279_45.pkl,8,3279
383,147399_4.pkl,24,147399
384,143844_53.pkl,41,143844
385,230914_6.pkl,81,230914
386,148217_36.pkl,23,148217
387,179761_6.pkl,66,179761
388,279066_95.pkl,50,279066
389,286397_5.pkl,30,286397
390,174702_19.pkl,28,174702
391,206461_5.pkl,85,206461
392,247760_20.pkl,53,247760
393,437705_12.pkl,95,437705
394,352908_1.pkl,27,352908
395,23699_0.pkl,0,23699
396,194074_23.pkl,49,194074
397,194223_0.pkl,49,194223
398,12844_3.pkl,25,12844
399,189896_1.pkl,4,189896
400,35928_25.pkl,98,35928
401,437505_0.pkl,92,437505
402,356362_12.pkl,12,356362
403,233703_22.pkl,17,233703
404,251444_50.pkl,64,251444
405,249879_2.pkl,38,249879
406,46127_80.pkl,19,46127
407,232881_22.pkl,18,232881
408,366043_2.pkl,14,366043
409,136453_2.pkl,60,136453
410,47129_2.pkl,47,47129
411,246820_11.pkl,54,246820
